Order Date,Customer,City,State,Category,Sub Category,Amount
12/21/17,Bradley Nguyen,Los Angeles,California,Office Supplies,Art,6
05/21/16,Logan Haushalter,Los Angeles,California,Technology,Phones,55
05/21/16,Logan Haushalter,Los Angeles,California,Technology,Accessories,66
11/07/15,Karen Bern,Los Angeles,California,Furniture,Chairs,191
09/07/17,Jasper Cacioppo,Los Angeles,California,Furniture,Furnishings,48
06/10/16,Olvera Toch,Los Angeles,California,Office Supplies,Labels,21
06/10/16,Olvera Toch,Los Angeles,California,Furniture,Tables,1336
06/10/16,Olvera Toch,Los Angeles,California,Office Supplies,Paper,32
12/07/17,Frank Preis,Los Angeles,California,Technology,Phones,374
09/10/15,Charles Crestani,Los Angeles,California,Office Supplies,Supplies,52
03/28/15,Alan Barnes,Los Angeles,California,Technology,Accessories,166
03/28/15,Alan Barnes,Los Angeles,California,Office Supplies,Paper,33
02/13/16,Ross DeVincentis,Los Angeles,California,Office Supplies,Paper,147
12/07/15,Melanie Seite,Los Angeles,California,Furniture,Furnishings,80
08/31/15,Andrew Roberts,Los Angeles,California,Office Supplies,Paper,58
11/07/16,Eudokia Martin,Los Angeles,California,Office Supplies,Binders,37
11/07/16,Eudokia Martin,Los Angeles,California,Office Supplies,Binders,27
11/07/16,Eudokia Martin,Los Angeles,California,Office Supplies,Supplies,11
11/07/16,Eudokia Martin,Los Angeles,California,Office Supplies,Labels,15
04/25/15,Jill Stevenson,Los Angeles,California,Office Supplies,Binders,14
04/08/16,Logan Currie,Los Angeles,California,Office Supplies,Paper,20
04/08/16,Logan Currie,Los Angeles,California,Office Supplies,Storage,65
04/08/16,Logan Currie,Los Angeles,California,Office Supplies,Paper,13
07/30/17,John Lee,Mission Viejo,California,Office Supplies,Storage,330
07/30/17,John Lee,Mission Viejo,California,Office Supplies,Labels,26
09/22/15,Daniel Lacy,Oceanside,California,Furniture,Furnishings,205
09/07/15,Helen Andreada,Pasadena,California,Office Supplies,Storage,672
10/31/15,Mary Zewe,Redlands,California,Office Supplies,Envelopes,14
12/13/15,Rachel Payne,Riverside,California,Office Supplies,Paper,13
12/13/15,Rachel Payne,Riverside,California,Office Supplies,Appliances,134
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Paper,20
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Paper,35
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Art,12
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Fasteners,4
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Binders,76
10/13/16,Lena Creighton,Roseville,California,Office Supplies,Supplies,66
10/13/16,Lena Creighton,Roseville,California,Furniture,Furnishings,43
06/20/16,Dave Poirier,Salinas,California,Office Supplies,Art,5
06/20/16,Dave Poirier,Salinas,California,Office Supplies,Paper,39
09/11/16,Kelly Collister,San Diego,California,Office Supplies,Paper,8
09/11/16,Kelly Collister,San Diego,California,Technology,Accessories,3347
10/06/14,Xylona Preis,San Diego,California,Technology,Accessories,9
08/08/14,Lena Radford,San Diego,California,Office Supplies,Appliances,76
08/08/14,Lena Radford,San Diego,California,Technology,Copiers,1200
08/08/14,Lena Radford,San Diego,California,Technology,Phones,446
08/08/14,Lena Radford,San Diego,California,Furniture,Furnishings,328
05/27/14,Maya Herman,San Diego,California,Furniture,Tables,567
05/27/14,Maya Herman,San Diego,California,Office Supplies,Storage,359
02/20/17,Helen Wasserman,San Diego,California,Furniture,Furnishings,22
02/20/17,Helen Wasserman,San Diego,California,Technology,Phones,216
06/26/17,Olvera Toch,San Diego,California,Office Supplies,Storage,84
08/27/14,Zuschuss Donatelli,San Francisco,California,Office Supplies,Art,9
08/27/14,Zuschuss Donatelli,San Francisco,California,Technology,Phones,213
08/27/14,Zuschuss Donatelli,San Francisco,California,Office Supplies,Binders,23
10/12/14,Duane Noonan,San Francisco,California,Office Supplies,Art,15
10/12/14,Duane Noonan,San Francisco,California,Office Supplies,Storage,21
06/17/17,Katherine Ducich,San Francisco,California,Office Supplies,Binders,51
09/18/17,Sally Hughsby,San Francisco,California,Office Supplies,Art,9
09/18/17,Sally Hughsby,San Francisco,California,Office Supplies,Envelopes,11
09/18/17,Sally Hughsby,San Francisco,California,Office Supplies,Paper,144
12/10/16,Logan Haushalter,San Francisco,California,Furniture,Chairs,322
12/28/17,Kristen Hastings,San Francisco,California,Office Supplies,Storage,726
07/30/15,Helen Andreada,San Francisco,California,Technology,Accessories,210
07/30/15,Helen Andreada,San Francisco,California,Furniture,Furnishings,5
07/30/15,Helen Andreada,San Francisco,California,Office Supplies,Binders,11
07/12/14,Alyssa Crouse,San Francisco,California,Office Supplies,Binders,8
07/12/14,Alyssa Crouse,San Francisco,California,Furniture,Tables,698
06/15/17,Clay Cheatham,San Francisco,California,Technology,Phones,48
09/24/14,Julia Dunbar,San Francisco,California,Office Supplies,Storage,212
10/28/16,Alejandro Savely,San Francisco,California,Office Supplies,Paper,51
10/28/16,Alejandro Savely,San Francisco,California,Office Supplies,Binders,50
12/08/17,Keith Herrera,San Francisco,California,Technology,Accessories,180
12/08/17,Keith Herrera,San Francisco,California,Technology,Copiers,1200
12/08/17,Keith Herrera,San Francisco,California,Office Supplies,Paper,27
12/08/17,Keith Herrera,San Francisco,California,Furniture,Tables,1004
12/08/17,Keith Herrera,San Francisco,California,Office Supplies,Paper,10
12/08/17,Keith Herrera,San Francisco,California,Office Supplies,Labels,28
12/08/17,Keith Herrera,San Francisco,California,Office Supplies,Paper,56
12/08/17,Keith Herrera,San Francisco,California,Furniture,Bookcases,1337
12/08/17,Keith Herrera,San Francisco,California,Furniture,Chairs,114
11/09/14,Jeremy Pistek,San Francisco,California,Office Supplies,Storage,341
11/09/14,Jeremy Pistek,San Francisco,California,Furniture,Bookcases,223
11/09/14,Jeremy Pistek,San Francisco,California,Technology,Phones,704
11/09/14,Jeremy Pistek,San Francisco,California,Office Supplies,Storage,93
11/09/14,Jeremy Pistek,San Francisco,California,Office Supplies,Paper,63
11/09/14,Jeremy Pistek,San Francisco,California,Office Supplies,Paper,95
04/15/16,Bill Donatelli,San Francisco,California,Furniture,Chairs,1122
11/20/17,Liz Pelletier,San Francisco,California,Furniture,Furnishings,43
11/20/17,Liz Pelletier,San Francisco,California,Office Supplies,Binders,84
12/17/17,Logan Currie,San Francisco,California,Office Supplies,Binders,15
12/17/17,Logan Currie,San Francisco,California,Office Supplies,Paper,13
09/08/14,Gary Zandusky,San Francisco,California,Technology,Accessories,50
04/07/16,Yoseph Carroll,San Francisco,California,Technology,Copiers,1200
08/21/15,Nick Zandusky,San Francisco,California,Furniture,Chairs,544
08/21/15,Nick Zandusky,San Francisco,California,Office Supplies,Paper,60
08/21/15,Nick Zandusky,San Francisco,California,Office Supplies,Paper,24
08/21/15,Nick Zandusky,San Francisco,California,Office Supplies,Paper,4
09/20/14,Erica Smith,San Francisco,California,Office Supplies,Labels,10
09/20/14,Erica Smith,San Francisco,California,Office Supplies,Paper,22
04/22/17,Gary McGarr,San Francisco,California,Furniture,Furnishings,18
05/09/14,Patrick Gardner,San Francisco,California,Technology,Accessories,68
05/09/14,Patrick Gardner,San Francisco,California,Technology,Accessories,168
06/09/14,Chuck Magee,San Francisco,California,Office Supplies,Supplies,7
06/09/14,Chuck Magee,San Francisco,California,Office Supplies,Art,23
12/23/17,Gary Zandusky,San Francisco,California,Office Supplies,Art,13
12/09/14,Cyma Kinney,San Francisco,California,Office Supplies,Paper,35
11/10/16,Pamela Coakley,San Francisco,California,Office Supplies,Storage,156
11/10/16,Pamela Coakley,San Francisco,California,Office Supplies,Binders,70
06/19/16,Karen Carlisle,San Francisco,California,Office Supplies,Paper,17
11/14/17,Lindsay Williams,San Francisco,California,Furniture,Chairs,322
09/01/16,Cynthia Voltz,San Francisco,California,Office Supplies,Envelopes,22
05/31/15,Stephanie Phelps,San Jose,California,Office Supplies,Paper,58
05/31/15,Stephanie Phelps,San Jose,California,Office Supplies,Paper,106
05/31/15,Stephanie Phelps,San Jose,California,Office Supplies,Storage,81
08/26/16,Roland Fjeld,San Jose,California,Office Supplies,Fasteners,10
08/26/16,Roland Fjeld,San Jose,California,Office Supplies,Paper,155
05/14/17,Pauline Johnson,Santa Ana,California,Furniture,Furnishings,18
05/14/17,Pauline Johnson,Santa Ana,California,Technology,Accessories,1400
11/12/17,David Bremer,Santa Clara,California,Office Supplies,Paper,11
12/13/16,Rob Williams,Torrance,California,Office Supplies,Binders,6
12/13/16,Rob Williams,Torrance,California,Furniture,Tables,1114
05/20/16,Rick Bensley,Vallejo,California,Furniture,Furnishings,1049
05/20/16,Rick Bensley,Vallejo,California,Office Supplies,Binders,15
12/09/17,Laurel Elliston,Whittier,California,Technology,Phones,445
03/31/17,David Smith,Amarillo,Texas,Furniture,Bookcases,205
08/24/15,Cassandra Brandow,Arlington,Texas,Office Supplies,Storage,999
08/24/15,Cassandra Brandow,Arlington,Texas,Office Supplies,Storage,724
08/24/15,Cassandra Brandow,Arlington,Texas,Furniture,Tables,919
08/24/15,Cassandra Brandow,Arlington,Texas,Office Supplies,Binders,3
12/20/15,Chad Sievert,Austin,Texas,Office Supplies,Storage,89
09/16/17,Jay Fein,Austin,Texas,Office Supplies,Envelopes,18
09/16/17,Jay Fein,Austin,Texas,Technology,Phones,56
12/17/17,Logan Currie,Dallas,Texas,Office Supplies,Appliances,66
02/09/15,Michael Stewart,Dallas,Texas,Technology,Accessories,21
04/28/16,Nona Balk,Dallas,Texas,Technology,Phones,370
04/28/16,Nona Balk,Dallas,Texas,Office Supplies,Labels,16
06/08/17,Tiffany House,Dallas,Texas,Office Supplies,Supplies,24
06/08/17,Tiffany House,Dallas,Texas,Office Supplies,Paper,85
06/08/17,Tiffany House,Dallas,Texas,Technology,Phones,382
08/27/16,Sung Shariari,Dallas,Texas,Office Supplies,Supplies,52
08/27/16,Sung Shariari,Dallas,Texas,Office Supplies,Paper,4
08/27/16,Sung Shariari,Dallas,Texas,Office Supplies,Paper,5
08/27/16,Sung Shariari,Dallas,Texas,Office Supplies,Supplies,55
03/05/16,Rob Williams,Dallas,Texas,Office Supplies,Envelopes,149
03/05/16,Rob Williams,Dallas,Texas,Office Supplies,Storage,13
11/22/15,Harold Pawlan,Fort Worth,Texas,Office Supplies,Appliances,69
11/22/15,Harold Pawlan,Fort Worth,Texas,Office Supplies,Binders,3
05/11/14,Paul Gonzalez,Fort Worth,Texas,Technology,Accessories,58
05/11/14,Paul Gonzalez,Fort Worth,Texas,Technology,Phones,101
05/11/14,Paul Gonzalez,Fort Worth,Texas,Furniture,Furnishings,66
03/07/16,Ed Braxton,Fort Worth,Texas,Technology,Phones,21
11/11/17,Tamara Dahlen,Garland,Texas,Office Supplies,Labels,10
11/11/17,Tamara Dahlen,Garland,Texas,Office Supplies,Binders,18
07/16/16,Alice McCarthy,Grand Prairie,Texas,Office Supplies,Storage,37
07/16/16,Alice McCarthy,Grand Prairie,Texas,Office Supplies,Paper,20
05/29/17,Guy Thornton,Harlingen,Texas,Office Supplies,Paper,26
05/29/17,Guy Thornton,Harlingen,Texas,Office Supplies,Storage,53
10/19/17,Matt Abelman,Houston,Texas,Office Supplies,Paper,29
12/27/15,Steve Nguyen,Houston,Texas,Office Supplies,Envelopes,113
12/27/15,Steve Nguyen,Houston,Texas,Furniture,Bookcases,532
12/27/15,Steve Nguyen,Houston,Texas,Furniture,Chairs,212
12/27/15,Steve Nguyen,Houston,Texas,Technology,Phones,371
12/09/17,Ken Brennan,Houston,Texas,Office Supplies,Binders,1
12/09/17,Ken Brennan,Houston,Texas,Furniture,Furnishings,10
12/09/17,Ken Brennan,Houston,Texas,Office Supplies,Storage,27
11/26/14,Joel Eaton,Houston,Texas,Furniture,Furnishings,19
04/05/16,Gary Mitchum,Houston,Texas,Office Supplies,Storage,158
12/26/14,Alan Dominguez,Houston,Texas,Furniture,Chairs,601
04/21/17,Shirley Jackson,Houston,Texas,Office Supplies,Appliances,97
09/19/14,Sean Braxton,Houston,Texas,Technology,Machines,3060
09/19/14,Sean Braxton,Houston,Texas,Technology,Machines,2520
09/26/15,Steven Cartwright,Houston,Texas,Office Supplies,Binders,2
09/26/15,Steven Cartwright,Houston,Texas,Technology,Phones,1114
04/28/15,Russell Applegate,Houston,Texas,Office Supplies,Appliances,9
04/28/15,Russell Applegate,Houston,Texas,Office Supplies,Storage,24
04/28/15,Russell Applegate,Houston,Texas,Office Supplies,Binders,12
09/08/16,Anna Gayman,Houston,Texas,Office Supplies,Storage,36
09/08/16,Anna Gayman,Houston,Texas,Furniture,Bookcases,2396
09/08/16,Anna Gayman,Houston,Texas,Office Supplies,Storage,131
09/08/16,Anna Gayman,Houston,Texas,Technology,Accessories,58
09/15/17,Brenda Bowman,Houston,Texas,Office Supplies,Paper,32
03/22/15,Dean Braden,Houston,Texas,Technology,Accessories,18
03/22/15,Dean Braden,Houston,Texas,Office Supplies,Storage,130
03/22/15,Dean Braden,Houston,Texas,Office Supplies,Binders,14
11/24/17,Greg Tran,Houston,Texas,Office Supplies,Fasteners,11
10/03/16,Hunter Lopez,Houston,Texas,Office Supplies,Envelopes,16
03/10/15,Toby Swindell,Houston,Texas,Office Supplies,Binders,1
06/09/14,Carl Weiss,Huntsville,Texas,Technology,Phones,8
06/09/14,Carl Weiss,Huntsville,Texas,Technology,Accessories,64
06/09/14,Carl Weiss,Huntsville,Texas,Office Supplies,Art,70
01/09/14,Melanie Seite,Laredo,Texas,Office Supplies,Art,9
01/09/14,Melanie Seite,Laredo,Texas,Technology,Accessories,31
06/08/17,Dorris liebe,Pasadena,Texas,Office Supplies,Appliances,2
09/29/17,Ann Steele,Pasadena,Texas,Office Supplies,Labels,8
09/29/17,Ann Steele,Pasadena,Texas,Office Supplies,Envelopes,28
09/29/17,Ann Steele,Pasadena,Texas,Technology,Machines,337
12/08/16,Gene Hale,Richardson,Texas,Technology,Phones,1098
12/08/16,Gene Hale,Richardson,Texas,Furniture,Furnishings,191
12/28/17,Greg Hansen,Round Rock,Texas,Office Supplies,Art,27
12/28/17,Greg Hansen,Round Rock,Texas,Furniture,Bookcases,79
09/08/14,Becky Martin,San Antonio,Texas,Office Supplies,Art,10
09/08/14,Becky Martin,San Antonio,Texas,Technology,Machines,8160
09/08/14,Becky Martin,San Antonio,Texas,Office Supplies,Storage,276
09/08/14,Becky Martin,San Antonio,Texas,Furniture,Chairs,1740
09/08/14,Becky Martin,San Antonio,Texas,Office Supplies,Art,32
09/08/14,Becky Martin,San Antonio,Texas,Office Supplies,Appliances,178
09/08/14,Becky Martin,San Antonio,Texas,Technology,Phones,144
10/01/17,Ken Heidel,San Antonio,Texas,Office Supplies,Art,7
06/15/14,Kelly Lampkin,San Antonio,Texas,Furniture,Tables,100
06/15/14,Kelly Lampkin,San Antonio,Texas,Furniture,Chairs,798
06/15/14,Kelly Lampkin,San Antonio,Texas,Office Supplies,Binders,9
03/18/17,Carol Darley,Tyler,Texas,Office Supplies,Appliances,3
03/18/17,Carol Darley,Tyler,Texas,Technology,Accessories,28
03/18/17,Carol Darley,Tyler,Texas,Furniture,Furnishings,83
03/18/17,Carol Darley,Tyler,Texas,Office Supplies,Binders,183
09/08/14,Lisa Hazard,Tyler,Texas,Office Supplies,Binders,51
